ID,EGRID,Nummer,BFSNr,Check_EGRID,Flaeche,parcel_area_m2,Bemerkung,GGF_m2,BUF_m2,UUF_m2,Sealed_m2,GreenSpace_m2,Abbau_Deponie_m2,Acker_Wiese_Weide_m2,Bahn_m2,Fels_m2,Gartenanlage_m2,Gebaeude_m2,Geroell_Sand_m2,Gewaesser_fliessendes_m2,Gewaesser_stehendes_m2,Gletscher_Firn_m2,Hoch_Flachmoor_m2,Reben_m2,Strasse_Weg_m2,Trottoir_m2,Verkehrsinsel_m2,Wasserbecken_m2,Wytweide_dicht_m2,Wytweide_offen_m2,geschlossener_Wald_m2,uebrige_Intensivkultur_m2,uebrige_befestigte_m2,uebrige_bestockte_m2,uebrige_humusierte_m2,uebrige_vegetationslose_m2
TEST-00709,CH707713736793,825,3408.0,EGRID found in AV,1250.0,1250.1850630013614,,333.81704050046983,916.3680225017644,0.0,812.0868133458798,438.0982496563545,0.0,0.0,0.0,0.0,438.0982496563545,333.81704050046983,0.0,0.0,0.0,0.0,0.0,0.0,45.46271399782671,80.48588719582906,0.0,0.0,0.0,0.0,0.0,0.0,352.3211716517541,0.0,0.0,0.0
TEST-00197,CH831083943096,275b,2163.0,EGRID found in AV,11358.0,11999.543942498325,,0.0,0.0,11999.543942508213,0.0,11040.782489591158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,958.7614529170556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11040.782489591158,0.0,0.0,0.0,0.0,0.0
TEST-00756,CH927703660635,4292,4946.0,EGRID found in AV,1497.0,1496.8217320064155,,0.0,0.0,1496.8217320064155,0.0,1496.8217320064155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1496.8217320064155,0.0,0.0,0.0,0.0,0.0
TEST-00004,CH187283951216,1629,4049.0,EGRID found in AV,930.0,930.2615340057896,,299.87248749762716,630.3890465077995,0.0,684.5837340201016,245.67779998532507,0.0,0.0,0.0,0.0,245.67779998532507,299.87248749762716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.7112465224744,0.0,0.0,0.0
TEST-00246,CH587189007278,4296,3945.0,EGRID found in AV,95.0,94.49752600031773,,0.0,94.49752600042719,0.0,0.0,94.49752600042719,0.0,94.49411304699983,0.0,0.0,0.0034129534273522615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00550,CH421174463521,949,746.0,EGRID found in AV,1688.0,1687.7236549958698,,798.5283309582795,889.1953240338638,0.0,1226.8763409193637,460.84731407277957,0.0,0.0,0.0,0.0,460.84731407277957,798.5283309582795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.89799063229288,0.0,0.0,0.0,0.0,0.0,0.0,376.45001932879137,0.0,0.0,0.0
TEST-00458,CH629166109448,1719,2138.0,EGRID found in AV,33.0,16.690164500852774,,0.0,16.69016449804149,0.0,4.80907934856802,11.881085149473469,0.0,11.881085149473469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08002759763589971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.729051750932121,0.0,0.0,0.0
TEST-00510,CH889232067892,1484,2523.0,EGRID found in AV,3589.0,3588.650954985587,,0.0,0.0,3588.650954985587,0.0,3588.650954985587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3588.650954985587,0.0,0.0,0.0,0.0,0.0
TEST-00300,CH376877228645,6869,3901.0,EGRID found in AV,2351.0,2351.480903485215,,0.08689887099627118,2351.394189103923,0.0,2283.693090664871,67.7879973100483,0.0,0.0,1.0500600957943589,0.0,17.798471807671238,0.08689887099627118,0.0,0.0,0.0,0.0,0.0,0.0,1427.9659978220902,843.0391268430503,0.0,0.0,0.0,0.0,0.0,0.0,11.551007032939726,0.0,49.98952550237706,0.0
TEST-00118,CH169945067097,13,4285.0,EGRID found in AV,4771.0,4770.998461508188,,0.0,4770.998240072278,0.0,0.0,4770.998240072278,0.0,4770.998240072278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00916,CH927342463517,153,619.0,EGRID found in AV,10842.0,10841.846877513639,,0.0,1405.6290916559756,9436.217785858917,22.330220122608416,10819.516657392283,0.0,1383.298871533367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.50865762270807,0.0,0.0,0.0,0.0,0.0,9436.217785858917,0.0,13.821562499900349,0.0,0.0,0.0
TEST-00250,CH663746355664,2012,853.0,EGRID found in AV,858.0,858.4559389930405,,47.07457100012561,811.3813679929148,0.0,47.07457100012561,811.3813679929148,0.0,0.0,0.0,0.0,811.3813679929148,47.07457100012561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEST-00039,CH808263276502,19,6612.0,EGRID found in AV,2616.0,2615.6150320168354,,490.53792682328157,1730.3157226049564,394.76042108447336,2195.70287937721,419.911191135501,0.0,0.0,0.0,0.0,25.150770051027628,490.53792682328157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1705.1649525539287,394.76042108447336,0.0,0.0
TEST-00696,CH183552301630,2165,6290.0,EGRID found in AV,62.0,61.83784349484681,,0.0,61.837843494846794,0.0,0.0,61.837843494846794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.837843494846794,0.0
