ID,EGRID,Nummer,BFSNr,Check_EGRID,Flaeche,parcel_area_m2,Bemerkung
TEST-00824,CH998978346756,3148,2701.0,EGRID in AV gefunden,582.0,581.8909349978322,
TEST-00381,CH557038772541,617,3033.0,EGRID in AV gefunden,1266.0,1265.701875496616,
TEST-00120,CH438378120532,467,2791.0,EGRID in AV gefunden,857.0,857.284900498882,
TEST-00738,CH635477511250,1256,4461.0,EGRID in AV gefunden,710.0,709.9522730034735,
TEST-00159,CH101135374670,282,738.0,EGRID in AV gefunden,46039.0,46038.824637514364,
TEST-00455,CH772577719838,66,99.0,EGRID in AV gefunden,363.0,363.03374349563853,
TEST-00869,CH310870617076,1793,2858.0,EGRID in AV gefunden,15667.0,15685.440059493312,
TEST-00079,CH590280800720,1344,5002.0,EGRID in AV gefunden,11956.0,11955.691106532708,
TEST-00019,CH318977670111,7606,4095.0,EGRID in AV gefunden,2432.0,2432.29333350072,
TEST-00970,CH501714562450,,,EGRID fehlt oder nicht in AV,,,Nicht existierende EGRID (Testfall)
TEST-00112,CH590578731171,711,4192.0,EGRID in AV gefunden,225.0,225.1849250025605,
TEST-00501,CH307703827788,5505,151.0,EGRID in AV gefunden,263.0,262.60617849841157,
TEST-00080,CH227733802935,20463,4566.0,EGRID in AV gefunden,18201.0,18200.949608479164,
TEST-00199,CH273586894649,142,667.0,EGRID in AV gefunden,3864.0,3864.367311022379,
TEST-00932,CH134619359946,332,371.0,EGRID in AV gefunden,345.0,344.7341845039061,
TEST-00572,CH370717870284,240,5323.0,EGRID in AV gefunden,1732.0,1731.9776479918507,
TEST-00893,CH227796518185,11358,154.0,EGRID in AV gefunden,1367.0,1367.4109564987532,
TEST-00243,CH953832870636,2923,2493.0,EGRID in AV gefunden,922.0,921.5238514956759,
TEST-00088,CH567410943939,978,2206.0,EGRID in AV gefunden,545.0,545.6602630019989,
TEST-00135,CH907666227709,2457,6299.0,EGRID in AV gefunden,3372.0,3371.621151997305,
TEST-00483,CH467846357474,2526,495.0,EGRID in AV gefunden,46857.0,46856.86728098651,
TEST-00662,CH810762029164,871,5141.0,EGRID in AV gefunden,2840.0,2833.129891007895,
TEST-00652,CH827063320614,185,2556.0,EGRID in AV gefunden,2722.0,2722.2308984820274,
TEST-00138,CH257708776785,5199,115.0,EGRID in AV gefunden,271.0,271.396674997767,
TEST-00462,CH754046453521,2288,690.0,EGRID in AV gefunden,5995.0,5994.921332515871,
TEST-00575,CH545401778749,1878,176.0,EGRID in AV gefunden,824.0,823.5400960015113,
TEST-00740,CH710662317752,B7643,198.0,EGRID in AV gefunden,237.0,236.70281249740128,
TEST-00791,CH790289080787,3209,5002.0,EGRID in AV gefunden,619.0,618.9979605031873,
TEST-00650,CH867807560009,3692,3714.0,EGRID in AV gefunden,573.0,573.3537840004655,
TEST-00555,CH794599780682,1089,4285.0,EGRID in AV gefunden,933.0,932.760194995637,
TEST-00710,CH527848896794,0528,2701.0,EGRID in AV gefunden,1907.0,1906.7965620079947,
TEST-00903,CH910722029496,165,5226.0,EGRID in AV gefunden,49.0,49.13530950162977,
TEST-00502,CH160546353057,1247,565.0,EGRID in AV gefunden,1110.0,1110.1640704932315,
TEST-00115,CH807735014601,1398,492.0,EGRID in AV gefunden,226.0,225.60106599604143,
TEST-00107,CH409894931060,2030,2309.0,EGRID in AV gefunden,13788.0,13788.478708495322,
