ID,EGRID
1086/3868/5,CH627778451895
1086/3868/6,CH987045187715
1086/3868/7,CH941845777021
1086/3868/8,CH694577781811
1086/3868/9,CH107718884535
1086/3872/1,0000000000
1086/3876/1,CH767707566901
1086/3876/2,CH867707561224
1086/3876/3,0000000000
1086/3876/5,CH190777255667
1086/3897/1,0000000000
1086/3898/1,0000000000
1086/3900/1,0000000000
1086/3903/1,0000000000
1086/3922/1,0000000000
1086/3971/1,0000000000
1086/3971/2,0000000000
1086/3973/1,CH330297078181
1086/3974/1,0000000000
1086/3974/2,0000000000
1086/3974/3,0000000000
1086/3974/4,0000000000
1086/3974/5,0000000000
1086/3974/6,0000000000
1086/3974/7,0000000000
1086/3974/8,0000000000
1086/3974/9,0000000000
1086/3974/10,0000000000
1086/3974/11,0000000000
1086/3976/1,CH470780980232
1086/3982/1,CH253102990717
1086/3982/2,CH269902073101
1086/3982/3,CH370799310296
1086/3982/4,CH383102079921
1086/3982/5,CH390299310764
1086/4010/1,CH267007399495
1086/4010/2,CH607939260740
1086/4010/3,CH530779396755
1086/4011/1,CH256707793995
1086/4011/2,CH590779663901
1086/4011/3,CH227150073959
1086/4015/1,0000000000
1086/4022/1,CH307067508976
1086/4023/1,CH127045896785
1086/4024/1,CH876771148974
1086/4025/3,CH727191896722
1086/4025/4,0000000000
1086/4027/1,CH698978276782
1086/4029/1,CH758189726763
1086/4029/2,CH327778840989
1086/4031/1,0000000000
1086/4033/1,CH607067558956
1086/4041/1,CH328350320647
1086/4046/1,0000000000
1086/4055/1,CH438270499725
1086/4064/1,0000000000
1086/4092/1,0000000000
1086/4106/1,CH207059761779
1086/4106/2,CH607959681715
1086/4106/3,CH445917702284
1086/4106/4,CH315991177097
1086/4112/2,CH813388067208
1086/4117/1,CH827785288941
1086/4135/1,CH830689338980
1086/4136/1,CH207067448931
1086/4137/1,CH316739897135
1086/4138/1,CH498977256768
1086/4138/2,CH727704896761
1086/4138/3,CH807167778989
1086/4138/4,CH498977656745
1086/4138/5,CH816751897049
1086/4139/1,CH776777048984
1086/4139/2,CH146789773168
1086/4145/1,0000000000
1086/4147/1,CH881207397751
1086/4148/1,CH557207783955
1086/4150/1,CH941674837384
1086/4174/1,CH540861702162
1086/4174/2,CH640861702128
1086/4192/1,CH286546358529
1086/4236/1,CH752146123551
1086/4236/2,CH680246351911
1086/4236/3,CH787046351486
1086/4237/1,CH955646113511
1086/4237/3,CH494618053509
1086/4237/4,CH694619613555
1086/4237/5,CH953164743643
1086/4237/6,CH173510204604
1086/4264/1,CH783146354244
1086/4264/2,CH134641356378
1086/4264/3,CH794642313501
1086/4265/1,CH834611355620
1086/4265/2,CH994617513501
1086/4265/3,CH273510864663
1086/4266/1,CH743546102066
1086/4266/2,CH394618933570
1086/4266/3,CH187746351008
1086/4266/4,CH543546193592
1086/4266/5,CH243546102636
1086/4266/6,CH694618813504
1086/4266/7,CH443546180562
1086/4266/8,CH221767463587
1086/4266/9,CH156746173565
1086/4267/1,CH194617673531
1086/4267/2,CH101735674612
1086/4267/3,CH643546193558
1086/4267/4,CH273510264649
1086/4267/5,CH785546351901
1086/4267/6,CH561846358104
1086/4267/7,CH713593461079
1086/4267/8,CH861946353617
1086/4267/9,CH634619355418
1086/4267/10,CH855846183567
1086/4267/11,CH534619353571
1086/4267/12,CH688146351813
1086/4267/13,CH161746356784
1086/4267/14,CH286746351743
1086/4267/15,CH901735514679
1086/4267/16,CH434618359356
1086/4267/17,CH636476368453
1086/4267/18,CH234610358609
1086/4313/1,0000000000
1086/4350/3,0000000000
1086/4350/4,CH281644067116
1086/4352/1,CH194470090605
1086/4352/4,CH867244066817
1086/4353/2,0000000000
1086/4357/1,0000000000
1086/4359/1,CH207306964497
1086/4366/1,CH789944067427
1086/4366/2,CH867444069929
1086/4372/1,0000000000
1086/4377/1,CH283444067412
1086/4386/1,CH308606043297
1086/4386/2,CH333286067360
1086/4390/1,CH127165440674
1086/4398/1,CH907806104479
1086/4508/1,CH810701029626
1086/4508/3,CH730296070134
1086/4622/1,0000000000
1086/4637/1,0000000000
1086/4643/2,CH709207820271
1086/4643/3,CH710782029214
1086/4644/1,CH230203077396
1086/4644/2,CH320371020770
1086/4647/1,0000000000
1086/4647/2,0000000000
1086/4648/1,CH170700060263
1086/4648/2,CH980602070009
1086/4652/1,CH769102070078
1086/4652/2,CH690291090703
1086/4652/3,CH680902079136
1086/4652/4,CH970791090230
1086/4653/1,CH870705390269
1086/4657/1,CH788202078673
1086/4657/2,CH668602078169
1086/4657/3,CH770786820221
1086/4658/1,CH508507620297
1086/4659/1,CH510777029329
1086/4659/2,0000000000
1086/4659/3,CH590293770709
1086/4659/4,CH429377020774
1086/4662/1,0000000000
1086/4663/1,CH751702930749
1086/4665/1,CH910747029366
1086/4665/2,CH990293470760
1086/4666/1,CH180802079040
1086/4666/2,CH750802900710
1086/4666/4,CH880802079093
1086/4668/1,CH430200074484
1086/4669/1,CH330200074421
1086/4669/2,CH440702004465
1086/4669/3,CH385202070038
1086/4669/4,0000000000
1086/4670/1,CH684302070082
1086/4670/2,CH520053020751
1086/4672/1,0000000000
1086/4673/1,0000000000
1086/4674/1,CH910754020987
1086/4674/2,CH600907120234
1086/4674/3,CH490209690747
1086/4674/4,CH240702095496
1086/4675/1,CH840702039464
1086/4676/1,CH229024020721
1086/4676/2,CH329024020784
1086/4677/1,CH200107800285
1086/4679/1,CH720970020772
1086/4680/1,CH690295660787
1086/4680/2,CH630295076612
1086/4683/1,CH590298710779
1086/4685/1,CH970796050294
1086/4685/2,CH809607050263
1086/4686/1,CH569602071197
1086/4686/3,CH551102960776
1086/4687/1,CH400107020257
1086/4688/1,CH209607230219
1086/4689/1,CH840702962053
1086/4691/1,0000000000
1086/4692/1,CH630201072724
1086/4692/2,CH620127020730
1086/4693/2,CH330201073818
1086/4693/3,CH800107380207
1086/4693/4,CH890201380776
1086/4694/1,CH170701270288
1086/4694/2,CH952702010784
1086/4695/1,CH900107280203
1086/4695/2,CH970701280207
1086/4697/1,CH486902070030
1086/4697/2,CH360002076980
1086/4697/4,0000000000
1086/4698/1,CH300707730207
1086/4698/2,CH710774020774
1086/4698/3,CH190207740755
1086/4698/5,CH687602070757
1086/4698/6,CH770707750274
1086/4703/1,CH168902076379
1086/4704/1,CH670707240267
1086/4705/2,CH410761020108
1086/4705/3,CH730201076351
1086/4707/1,CH256702010718
1086/4708/1,CH720277020704
1086/4708/2,CH170701620280
1086/4708/3,CH190201620748
1086/4708/4,CH200107620242
1086/4708/5,CH600107660288
1086/4708/6,CH630201076682
1086/4709/1,CH490202830768
1086/4709/2,CH260202078346
1086/4709/4,CH300207840212
1086/4710/1,CH810783020261
1086/4710/2,CH488302070238
1086/4710/3,CH830202078187
1086/4710/4,CH259902020724
1086/4714/1,CH886202079882
1086/4714/2,CH256202980756
1086/4714/3,CH356202980722
1086/4714/4,CH510779029905
1086/4714/5,CH529979020754
1086/4714/6,CH229970020743
1086/4714/7,CH530299077105
1086/4714/8,CH557102990796
1086/4714/9,CH169802076231
1086/4714/10,CH730286072602
1086/4714/11,CH286202079892
1086/4714/12,CH556202980751
1086/4714/13,CH270799700213
1086/4714/14,CH540702997195
1086/4714/15,CH569902078143
1086/4714/16,0000000000
1086/4714/17,0000000000
1086/4714/18,CH510700022019
1086/4714/19,CH670720000222
1086/4720/1,0000000000
1086/4720/2,CH155565886374
1086/4727/1,CH167183458192
1086/4727/2,CH798370204534
1086/4727/3,CH907145808356
1086/4727/4,CH688083457112
1086/4727/5,CH367083451223
1086/4727/6,CH544583944134
1086/4730/2,CH228195656359
1086/4738/1,CH851165816375
1086/4739/1,0000000000
1086/4750/1,CH876380586590
1086/4776/1,CH473070675229
1086/4776/2,CH267052306834
1086/4777/1,CH386852307084
1086/4780/1,0000000000
1086/4780/2,0000000000
1086/4780/3,0000000000
1086/4781/1,CH990477116308
1086/4781/2,CH951204776390
1086/4784/1,0000000000
1086/4785/4,CH267704633715
1086/4790/1,CH728066656380
1086/4790/2,CH516312658090
1086/4790/3,CH616333658754
1086/4790/4,CH346365883692
1086/4800/1,CH198373564506
1086/4800/2,CH767383456742
1086/4809/2,CH967704631689
1086/4813/1,0000000000
1086/4816/1,0000000000
1086/4817/1,CH316335658939
1086/4818/1,CH796589676393
1086/4833/1,CH567510944110
1086/4833/2,CH288110947248
1086/4833/3,CH868810942558
1086/4833/4,CH479474071039
1086/4833/5,CH552310869411
1086/4838/1,CH197077746949
1086/4840/1,CH574582988337
1086/4840/2,CH574581318353
1086/4840/3,0000000000
1086/4845/1,CH259765836385
1086/4846/1,0000000000
1086/4846/2,CH798374154513
1086/4860/1,CH176387246576
1086/4861/1,CH136588639692
1086/4871/1,0000000000
1086/4871/2,CH164152306479
1086/4871/3,0000000000
1086/4871/4,0000000000
1086/4871/5,0000000000
1086/4871/6,0000000000
1086/4871/7,0000000000
1086/4871/8,0000000000
1086/4871/9,CH459852893025
1086/4871/10,0000000000
1086/4871/11,0000000000
1086/4871/14,CH273088385222
1086/4871/15,CH156452413025
1086/4876/1,CH728970834556
1086/4892/1,CH744583828258
1086/4892/2,CH498381184543
1086/4896/1,CH667836578321
1086/4899/1,CH836589637164
1086/4900/1,CH785165638777
1086/4901/1,CH189665639132
1086/4929/2,CH543052522584
1086/4940/1,CH598372314551
1086/4979/1,0000000000
1086/4983/1,0000000000
1086/4987/1,CH185065638717
1086/4988/1,CH555465876365
1086/4997/1,CH887565638180
1086/5005/1,CH608163236512
1086/5005/2,CH608863996580
1086/5006/1,CH696584496332
1086/5006/2,CH168265637902
1086/5006/3,CH368765639673
1086/5006/4,CH268565637585
1086/5006/5,CH376385756567
1086/5016/1,CH516349658840
1086/5018/1,CH576391246501
1086/5021/1,CH514570839384
1086/5022/1,CH680083459019
1086/5026/1,CH114555837681
1086/5060/1,CH907445378307
1086/5060/2,CH207445528306
1086/5064/1,CH330477638238
1086/5065/1,0000000000
1086/5085/1,CH528672523004
1086/5089/2,CH916369658122
1086/5089/3,CH356365846393
1086/5090/1,CH356865846355
1086/5091/1,CH196594416339
1086/5091/2,CH708463536501
1086/5092/1,CH836584635924
1086/5092/2,CH186265638484
1086/5126/1,CH540644759187
1086/5126/2,CH534475069140
1086/5126/3,CH559144750627
1086/5126/4,CH870674544467
1086/5127/1,CH389686687765
1086/5129/1,CH580183458135
1086/5130/1,CH374581728395
1086/5130/2,CH308145728314
1086/5130/3,CH368183459135
1086/5130/4,CH268183457288
1086/5130/5,CH854183814591
1086/5130/6,CH259583814501
1086/5130/7,CH886083458087
1086/5130/8,CH408245968375
1086/5130/9,CH614562838038
1086/5130/10,CH608045628366
1086/5130/11,CH756083804503
1086/5130/12,CH368183454878
1086/5130/13,CH738381451981
1086/5130/14,CH552183814554
1086/5130/15,CH544583829318
1086/5158/1,CH838380456807
1086/5158/2,CH556883804549
1086/5177/1,CH614515839855
1086/5177/3,CH800745338319
1086/5189/1,CH813183167772
1086/5193/1,CH451628773858
1086/5204/1,CH557706893396
1086/5204/2,CH790689783334
1086/5205/1,CH136582638164
1086/5206/1,CH868565632231
1086/5207/1,CH668465633120
1086/5207/2,CH768465638430
1086/5208/1,CH336582638490
1086/5213/1,0000000000
1086/5213/2,0000000000
1086/5213/3,0000000000
1086/5213/4,0000000000
1086/5213/5,0000000000
1086/5213/6,0000000000
1086/5225/1,CH167310947866
1086/5225/2,CH409094811021
1086/5225/3,CH428456109407
1086/5225/4,CH349410762687
1086/5225/5,CH909394941022
1086/5225/6,CH419415107314
1086/5225/7,CH808594111036
1086/5228/1,CH428972656379
1086/5228/2,CH716320658839
1086/5229/1,CH168165632286
1086/5234/1,CH607545318303
1086/5234/2,CH514549837597
1086/5234/3,CH238375455377
1086/5234/4,CH707645438303
1086/5234/5,CH114596837603
1086/5234/6,CH767683455867
1086/5234/7,CH738376451632
1086/5234/8,CH755883764569
1086/5234/9,CH453183754530
1086/5234/10,CH298375424593
1086/5234/11,CH267683451289
1086/5234/12,CH107645898369
1086/5234/13,CH874576588312
1086/5234/14,CH889483457646
1086/5234/15,CH244583753010
1086/5234/16,CH798376804591
1086/5234/17,CH744583761645
1086/5234/18,CH974575698351
1086/5234/19,CH427531834514
1086/5234/20,CH198376964553
1086/5234/21,CH986983457509
1086/5234/22,CH189683457636
1086/5235/1,CH838376455259
1086/5238/2,0000000000
1086/5239/1,CH416366658917
1086/5239/2,CH136589636517
1086/5239/3,CH796587176367
1086/5266/2,CH974581578333
1086/5272/1,CH914546838476
1086/5301/1,CH657184773244
1086/5308/1,CH351977756633
1086/5308/2,CH276674077720
1086/5314/1,CH908863486534
1086/5315/1,CH946365887642
1086/5331/1,CH995260073074
1086/5331/2,CH866052300170
1086/5331/3,CH973060015250
1086/5331/4,CH950152603039
1086/5331/5,CH850352603019
1086/5331/6,CH906030035271
1086/5331/7,CH913003526015
1086/5335/1,0000000000
1086/5335/2,0000000000
1086/5335/3,0000000000
1086/5353/1,0000000000
1086/5355/1,CH757465836351
1086/5356/1,CH355365806384
